1 Cucamonga, 960.4026700785801, 652.8031272563098
2 Redondo Beach, 981.5568104859019, 286.0943700417612
3 Artesia, 634.2861591748798, 925.5028984692711
4 Santa Monica, 635.592915605484, 172.0350135590123
5 Albany, 256.132721292146, 973.5023567943192
6 Rosemead, 149.70396786740403, 302.9070888551142
7 Lomita, 711.9664208299594, 39.708473141121026
8 Norwalk, 159.46889161561495, 295.81864427383
9 Berkeley, 193.47834577278823, 503.66672412354274
10 Alhambra, 320.6570007720775, 901.2220008289491
11 Baldwin Park, 798.4018388125592, 894.1247598738402
12 East Palo Alto, 491.75467131831596, 109.46233216098678
13 Paramount, 703.1061327806997, 360.75974783744755
14 San Pablo, 102.31631088271776, 569.2518828600524
15 La Puente, 502.52012825722323, 861.7428463749161
16 Stanton, 835.4459288910741, 663.4439726756916
17 Bellflower, 215.15550500587642, 972.0089858937638
18 El Monte, 316.14405649897213, 160.35729207416594
19 Inglewood, 725.5862127363955, 114.95046028326605
20 Santa Ana, 153.47704082937685, 501.93801419961204
21 Hermosa Beach, 742.6084684522015, 395.772493530813
22 South Gate, 948.1533889146832, 230.27101425000996
23 Daly City, 972.8437207520248, 633.012096581663
24 Hawthorne, 482.30114271635483, 171.15806753638563
25 Lynwood, 82.11890960304702, 598.403793253649
26 Bell, 672.984409699366, 695.4337271080581
27 Hawaiian Gardens, 250.41344762769424, 191.46079280284923
28 Lawndale, 79.89987224739149, 122.26172905295907
29 Bell Gardens, 313.34368142048277, 239.57802197144173
30 San Francisco, 866.5976827922168, 855.0183127766156
31 West Hollywood, 764.1719544038989, 233.83537020318056
32 Huntington Park, 997.6909491181524, 455.2322521670946
33 Cudahy, 8.924449247069699, 191.64515831457186
34 Maywood, 435.80684781107834, 851.6069647415293
