A, 495.4563250820533, 494.3442280594549
B, 651.991608119676, 510.2296885263602
C, 237.062771014514, 887.840024103211
D, 423.4958665946512, 619.3022774941271
E, 911.7929527442425, 368.4529013506974
F, 912.7731427479378, 961.4278704747534
G, 848.1080019320473, 912.7312529587688
H, 458.8683294843958, 442.7241917712538
I, 322.36890885786715, 407.8494242903902
J, 465.9609517761435, 152.54786563621602
K, 812.9101641222051, 946.4898994592204
L, 936.2593246419058, 288.14694343699074
M, 61.67319226112422, 761.7448471713944
N, 187.3342967051599, 662.5241100614732
O, 216.0524600381849, 189.45009711820282
P, 611.831632410576, 476.7644301558631
Q, 767.8572444778686, 693.7670279288418
R, 571.2647696021183, 437.5519943373767
S, 867.6938098428994, 151.19785055912328
T, 670.586279409874, 959.1857205304395
U, 330.6482630337351, 530.0186443134106
V, 843.5902410902789, 416.43559433443767
W, 933.4292270401684, 959.6217017368261
X, 54.58115529876262, 537.760487451249
Y, 838.5958606690348, 817.1369760168443
Z, 137.03350355156485, 165.61783947636354
AA, 823.7914942629274, 984.8053879769697
